user_id,watch_time,session_duration,visit_frequency,completion_rate,number_of_sessions,action_preference,family_preference,comedy_preference,drama_preference,primary_device,subscription_tier,weekend_watch_ratio,skip_intro_rate
USR_01502,948.4,41.7,2,0.656,22,0.048,0.741,0.145,0.066,Mobile,Basic,0.686,0.483
USR_02587,560.6,16.3,3,0.563,34,0.245,0.079,0.474,0.202,Web,Basic,0.262,0.603
USR_02654,425.0,19.8,3,0.472,21,0.158,0.128,0.478,0.236,Mobile,Standard,0.56,0.443
USR_01056,1868.1,41.0,27,0.8,45,0.781,0.093,0.126,0.0,Tablet,Standard,0.364,0.877
USR_00706,1793.4,40.8,17,1.0,43,0.703,0.047,0.082,0.168,SmartTV,Premium,0.386,0.9
USR_00107,2119.3,78.0,21,0.893,27,0.821,0.076,0.103,0.0,Console,Standard,0.449,1.0
USR_00590,2577.2,58.5,20,0.869,44,0.556,0.051,0.148,0.245,SmartTV,Standard,0.369,0.854
USR_02469,526.9,19.3,12,0.323,27,0.108,0.227,0.363,0.302,Tablet,Free,0.432,0.153
USR_02414,295.1,18.7,6,0.444,15,0.207,0.121,0.672,0.0,Mobile,Basic,0.424,0.438
USR_01601,1036.3,35.0,11,0.768,29,0.111,0.744,0.145,0.0,SmartTV,Standard,0.828,0.465
USR_02465,532.1,23.5,4,0.6,22,0.264,0.122,0.614,0.0,Mobile,Basic,0.661,0.125
USR_00229,1985.2,43.0,22,0.884,46,0.715,0.067,0.073,0.145,Tablet,Standard,0.398,0.984
USR_00916,2973.4,43.9,23,0.891,67,0.815,0.019,0.02,0.146,Tablet,Standard,0.47,0.969
USR_00795,2134.8,40.0,23,0.873,53,0.898,0.045,0.057,0.0,Mobile,Premium,0.492,0.924
USR_03022,359.3,11.7,6,0.323,30,0.171,0.0,0.733,0.096,Mobile,Free,0.463,0.226
USR_03544,1699.4,33.1,17,0.706,51,0.238,0.227,0.268,0.267,Tablet,Premium,0.423,0.638
USR_01074,2193.7,61.1,26,0.795,35,0.692,0.069,0.064,0.175,Console,Free,0.69,0.891
USR_03352,556.3,28.4,7,0.463,19,0.24,0.044,0.422,0.294,Mobile,Basic,0.343,0.293
USR_01745,567.5,23.7,4,0.676,23,0.114,0.45,0.219,0.217,Mobile,Premium,0.693,0.232
USR_01085,1776.6,62.1,20,0.93,28,0.866,0.0,0.071,0.063,Mobile,Standard,0.352,0.705
USR_00927,2486.8,75.1,15,0.844,33,0.824,0.071,0.105,0.0,Console,Standard,0.344,0.803
USR_03050,349.0,13.5,2,0.422,25,0.298,0.086,0.575,0.041,Mobile,Free,0.432,0.419
USR_01118,2705.7,36.4,28,0.975,74,0.782,0.113,0.072,0.033,SmartTV,Premium,0.271,0.789
USR_00643,1905.5,63.2,21,0.853,30,0.86,0.036,0.09,0.014,Web,Standard,0.532,0.973
USR_04768,3084.9,69.0,15,0.942,44,0.259,0.046,0.222,0.473,SmartTV,Standard,0.504,1.0
USR_00502,2696.6,74.4,23,0.807,36,0.833,0.033,0.134,0.0,SmartTV,Standard,0.546,0.887
